capture_ts,vehicle_feed_ts,tripupdates_feed_ts,pb_path
1768594278,1768594273,1768594276,tripupdates_snapshots/tripupdates_capture_1768594278_veh_1768594273_tu_1768594276.pb
1768594308,1768594303,1768594306,tripupdates_snapshots/tripupdates_capture_1768594308_veh_1768594303_tu_1768594306.pb
1768594338,1768594339,1768594336,tripupdates_snapshots/tripupdates_capture_1768594338_veh_1768594339_tu_1768594336.pb
1768594369,1768594369,1768594366,tripupdates_snapshots/tripupdates_capture_1768594369_veh_1768594369_tu_1768594366.pb
1768594399,1768594399,1768594396,tripupdates_snapshots/tripupdates_capture_1768594399_veh_1768594399_tu_1768594396.pb
1768594429,1768594429,1768594426,tripupdates_snapshots/tripupdates_capture_1768594429_veh_1768594429_tu_1768594426.pb
1768594460,1768594459,1768594456,tripupdates_snapshots/tripupdates_capture_1768594460_veh_1768594459_tu_1768594456.pb
1768594490,1768594489,1768594486,tripupdates_snapshots/tripupdates_capture_1768594490_veh_1768594489_tu_1768594486.pb
1768594520,1768594519,1768594516,tripupdates_snapshots/tripupdates_capture_1768594520_veh_1768594519_tu_1768594516.pb
1768594551,1768594549,1768594546,tripupdates_snapshots/tripupdates_capture_1768594551_veh_1768594549_tu_1768594546.pb
1768594581,1768594579,1768594576,tripupdates_snapshots/tripupdates_capture_1768594581_veh_1768594579_tu_1768594576.pb
1768594612,1768594609,1768594606,tripupdates_snapshots/tripupdates_capture_1768594612_veh_1768594609_tu_1768594606.pb
1768594642,1768594639,1768594636,tripupdates_snapshots/tripupdates_capture_1768594642_veh_1768594639_tu_1768594636.pb
1768594672,1768594670,1768594673,tripupdates_snapshots/tripupdates_capture_1768594672_veh_1768594670_tu_1768594673.pb
1768594703,1768594700,1768594703,tripupdates_snapshots/tripupdates_capture_1768594703_veh_1768594700_tu_1768594703.pb
1768594733,1768594730,1768594733,tripupdates_snapshots/tripupdates_capture_1768594733_veh_1768594730_tu_1768594733.pb
1768594763,1768594760,1768594763,tripupdates_snapshots/tripupdates_capture_1768594763_veh_1768594760_tu_1768594763.pb
1768594794,1768594790,1768594793,tripupdates_snapshots/tripupdates_capture_1768594794_veh_1768594790_tu_1768594793.pb
1768594824,1768594820,1768594823,tripupdates_snapshots/tripupdates_capture_1768594824_veh_1768594820_tu_1768594823.pb
1768594854,1768594850,1768594853,tripupdates_snapshots/tripupdates_capture_1768594854_veh_1768594850_tu_1768594853.pb
1768594885,1768594880,1768594883,tripupdates_snapshots/tripupdates_capture_1768594885_veh_1768594880_tu_1768594883.pb
1768594915,1768594910,1768594913,tripupdates_snapshots/tripupdates_capture_1768594915_veh_1768594910_tu_1768594913.pb
1768594946,1768594940,1768594943,tripupdates_snapshots/tripupdates_capture_1768594946_veh_1768594940_tu_1768594943.pb
1768594976,1768594976,1768594973,tripupdates_snapshots/tripupdates_capture_1768594976_veh_1768594976_tu_1768594973.pb
