feed_timestamp,entity_id,vehicle_id,route_id,trip_id,trip_start_date,trip_start_time,stop_id,stop_name,dist_to_stop_m,current_stop_sequence,current_status,congestion_level,vehicle_timestamp,lat,lon,speed_mps,bearing,odometer
1768494853,64,3490101840,15,2181594:565625:568447,20260115,11:30:00,S00077,Loblaws (east side of Midland),252.02150837765885,3,2,1,1768494840,44.258243560791016,-76.57398986816406,0.0,,196566.0
1768494853,65,3490101369,701,2182013:564914:568957,20260115,11:30:00,S00353,Alfred Street (north side of Brock),2.091475971525007,3,1,1,1768494839,44.23295593261719,-76.49760437011719,3.880000114440918,278.20001220703125,28857.0
1768494853,66,3490101362,19,2181110:566574:568990,20260115,11:27:00,S09118,,,10,2,1,1768494853,44.26658630371094,-76.58079528808594,9.15999984741211,89.9000015258789,209522.0
1768494853,67,3490101477,502,2199467:565028:568960,20260115,11:10:00,S00417,The Isabel/Tett Centres (south side of King),4.224577693965937,14,1,1,1768494848,44.221534729003906,-76.50672149658203,0.0,,779469.0
1768494853,68,3490100075,,,,,,,,,2,,1768493407,44.2535400390625,-76.53753662109375,14.140000343322754,134.1999969482422,0.0
1768494853,69,3490101370,11,2181435:568791:568916,20260115,11:05:00,S00506,Kingston Centre Transfer Point Platform 5,16.867360742587366,26,1,1,1768494846,44.242061614990234,-76.51690673828125,0.0,,722890.0
1768494853,70,3490101837,7,2181712:563643:568504,20260115,11:33:00,S00826,Sir John A Macdonald Blvd (south side of Dalton),8.408252044931563,2,1,1,1768494849,44.26887130737305,-76.52064514160156,0.0,,848517.0
1768494853,71,3490101050,,,,,,,,,2,,1768494845,,,,,
1768494853,72,3490100073,,,,,,,,,2,,1768493742,44.23158264160156,-76.48883819580078,8.529999732971191,281.3999938964844,0.0
1768494853,73,3490101807,15,2181619:566204:568432,20260115,10:56:00,S00624,1036 Mona Drive (south side),20.50288601841485,51,2,1,1768494853,44.25604248046875,-76.60448455810547,9.720000267028809,68.80000305175781,4553407.0
1768494853,74,3490101366,6,2181527:565961:568970,20260115,11:15:00,S09037,Centre 70 Park and Ride (west side of Days),1063.1983503747874,21,2,1,1768494847,44.2283821105957,-76.57125091552734,7.21999979019165,88.30000305175781,3105368.0
1768494853,75,3490100056,,,,,,,,,2,,1768493645,44.27895736694336,-76.47259521484375,0.0,,0.0
1768494853,76,3490100033,,,,,,,,,2,,1768493891,44.241214752197266,-76.50748443603516,11.0,90.9000015258789,0.0
1768494853,77,3490100035,,,,,,,,,2,,1768494176,44.26174545288086,-76.49661254882812,6.480000019073486,347.1000061035156,0.0
1768494853,78,3490100003,,,,,,,,,2,,1768494445,44.25825119018555,-76.55276489257812,9.720000267028809,270.5,0.0
1768494853,79,3490100063,,,,,,,,,2,,1768494617,44.263309478759766,-76.59944152832031,7.300000190734863,325.1000061035156,0.0
1768494853,80,3490100020,,,,,,,,,2,,1768493215,44.27070617675781,-76.57421875,14.5,358.6000061035156,0.0
